date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:11	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2030%20Oct%202023%2015:04:10%20GMT	https://en.labarraca.nl/robots.txt		(from )
20:34:11	157116/157116	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2015:04:10%20GMT	https://en.labarraca.nl/	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/en.labarraca.nl/index.html	(from )
20:34:12	172663/172663	---M-Z	200	added ('OK')	text/css	etag:%22a1a085bf26c532a64ce4ee64abae3d88%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/css/lbrc-website-2022.webflow.5f650a55e.min.css	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/assets-global.website-files.com/61f53606a22f7e1a572993f6/css/lbrc-website-2022.webflow.5f650a55e.min.css	(from https://en.labarraca.nl/)
20:34:12	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://en.labarraca.nl/)
20:34:12	444/444	---M--	200	added ('OK')	image/png	etag:%228b3505e562f47b0deb7023003c9d2567%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592a726750e2c930f676d_la-barraca-tapas-maastricht-32.png	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592a726750e2c930f676d_la-barraca-tapas-maastricht-32.png	(from https://en.labarraca.nl/)
20:34:13	4850/4850	---M--	200	added ('OK')	image/png	etag:%22d4a05bbf227a0bc9b76e44c4dd90abb7%22	https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592ae9c9ae73b10ff43c2_la-barraca-tapas-maastricht-256.png	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f592ae9c9ae73b10ff43c2_la-barraca-tapas-maastricht-256.png	(from https://en.labarraca.nl/)
20:34:14	206679/206679	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Oct%202023%2015:04:13%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/connect.facebook.net/en_US/fbevents.js	(from https://en.labarraca.nl/)
20:34:14	119458/119458	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd85d10870e6d7ba85d21f1cc0ad20fa%22	https://cdn.weglot.com/weglot.min.js	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/cdn.weglot.com/weglot.min.js	(from https://en.labarraca.nl/)
20:34:14	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://en.labarraca.nl/)
20:34:15	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2030%20Oct%202023%2015:04:14%20GMT	https://en.labarraca.nl/%22https://assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54e165b2373356cc89a83_La%20baraca%20Potato-HD%201080p%20(1	C:/Users/kolip/Documents/Websites_Copy/walkingStreet/en.labarraca.nl/_https_/assets-global.website-files.com/61f53606a22f7e1a572993f6/61f54e165b2373356cc89a83_La%20baraca%20Potato-HD%201080p%20(1.7.delayed	(from https://en.labarraca.nl/)
